,rms_level,spectral_centroid,bandwidth,zero_crossing_rate,band_energy_ratio,delta_spectrum_magnitude,pitch,pitch_strength,average_roughness,std_roughness,one_2hz_loudness,three_15hz_loudness,twenty_43hz_loudness,sharpness,gamma_0Hz_energy,gamma_3-15Hz_energy,gamma_20-150Hz_energy,gamma_150-1000Hz_energy,cluster_kmeans
1291,0.122550264,2304.647698080463,2430.4153781524915,0.0961316435146267,1.6115006834378245,-0.0007641208273284,21.02904915957581,0.1887846351235907,0.0008842148609211,0.029735750552511,0.0,0.2973039317563344,0.3081475049169244,0.2090383399617571,5.05017056036664e-05,0.0847664132483233,1.0255658838041457,7.510232341747273,0
1292,0.10748916,2228.2494024031625,2358.482397743724,0.1034129389541908,1.701741971649816,-2.6358379586500352e-05,21.126780712761622,0.1435237460474416,0.0008132117134098,0.0285168671738289,0.0,2.181822504156141e-05,2.539042170276337e-05,0.2021088165877667,0.0,7.860276696057196e-06,0.0074016218625458,0.9773577565071682,0
1293,0.15668419,1873.9006092317104,2074.1237295627257,0.0839275244388918,1.8452360739794835,-0.0006459746769456,13.95188967499428,0.2172161530255692,0.0012617237817592,0.035520751424473,0.0,0.2233806680589601,0.1750802547298232,0.1699683383325805,4.030609572458008e-05,0.1263977129295367,1.797598862839861,14.45745055378148,1
1294,0.2236298,2300.42613610088,2576.584230530525,0.0833083270723515,1.5162759855286727,0.0005616106015786,13.667390929530423,0.3080870241105672,0.0036838429683258,0.0606946700157916,0.0,1.3175884853343727e-10,3.0429253912884576e-11,0.2086554318456955,0.0,0.0482309804186885,0.8667891521153321,15.013134155532128,0
1295,0.18381353,1710.814952170803,2199.2004776092926,0.0613001993971404,1.9561402885216448,-0.0005786092529343,7.176878511455612,0.2362784060069541,0.0019275376604933,0.0439037317376703,0.0,0.0896934731327049,0.1641955490732455,0.1551759593804309,4.254334297947997e-05,0.0409722816143299,0.4309732947464981,2.675330393336018,1
1296,0.19252351,1752.397515570785,2106.3971113256703,0.0696104533998781,2.190235577484592,-0.0012433190018833,9.649488781968492,0.2801439188911698,0.0019934188930476,0.0446477199087214,0.0,0.0826036000093415,0.066237407944904,0.1589476204597909,0.0029215032538634,0.0859426718472128,0.7735712626247508,6.7520215794399725,1
1297,0.3162826,1885.892233900212,2449.2168835243856,0.061348555269347,2.068698910673249,0.0002726788466927,7.996842640131617,0.3737192402363241,0.0025817990490422,0.0508114066823799,0.0,5.532881409216363e-05,3.254056325536421e-05,0.1710559849341044,8.286665602095216e-07,0.0002090107461666,2.463204980329321,14.696153576409374,0
1298,0.167551,2328.598487931495,2493.643024955141,0.1028155360574507,1.7652807080893913,-0.0008332228097121,20.494822515854484,0.2262686931571089,0.0023243565109941,0.0482115806730512,0.0,1.7349158810481031,1.7867418796965828,0.2112107886597088,0.0136282154660654,0.4352131441008718,1.973806613351465,13.869590881123262,0
1299,0.27319986,2308.012724181861,2525.356966662886,0.0983474221125307,1.6861199354367884,-0.000514667452503,28.8931224077394,0.4199833679784294,0.0039934930913196,0.0631940906360686,0.0,2.329196896851854,2.036536560191756,0.2093435577487317,8.581587583849265e-07,0.5275897625632131,2.5632718975002264,22.779396863176704,0
1300,0.3042225,2094.697806584653,2441.341774804874,0.0834665839562348,1.8831528313138823,0.0007541727751748,14.4304133071133,0.4010613334079425,0.0045540009817119,0.067483338548948,0.0,3.362203530808802e-05,4.347444282404264e-05,0.1899952659031975,8.684618116145308e-07,1.0848856342723662e-05,1.3992297600579189,13.933210640726744,0
1301,0.31007755,1353.8338439238014,1827.156687968918,0.0502005324331848,2.744821288875018,-0.0002776040661744,8.388050976601122,0.3713784314888911,0.0023438271299133,0.0484130884153591,0.0,0.0381635438730286,0.0315482276425113,0.1227967335661683,0.00114263912432,0.0189916644563627,0.2763122420796781,8.5476190365698,1
1302,0.27552798,1891.5449493216256,2390.2199196402507,0.0608099155085412,1.8536712541137117,-6.285247113775035e-05,6.202288359165022,0.2193513002199471,0.0025106859326776,0.050106745381013,0.0,1.8462942191054856,5.615068584183284,0.1715687028861596,8.15765583145407e-07,0.2501718844932974,2.9068639197681887,16.41481629714981,0
1303,0.25241813,2001.4139790783693,2263.2197194958494,0.0845643694825319,1.686687885014663,6.387354288310937e-05,19.631829032919327,0.3930398317348561,0.0046076277825582,0.0678795092981548,0.0,0.0048785760110205,0.0152372345993537,0.1815341477620457,8.345508341829129e-07,0.0236021865371997,0.491067811344715,3.989986106241092,0
1304,0.32700896,2355.369555216353,2606.0242384958024,0.0985531513866511,1.4678925375909684,9.84134650867145e-05,17.62695251224117,0.5273925820161487,0.0070438761798802,0.0839278033781433,0.0,0.0017025396550844,0.0015147867997095,0.213638961924192,6.96431505913511e-06,0.0011495100143136,1.693321262446181,16.091360371179597,0
1305,0.24889849,2382.9023001066525,2524.699735855278,0.1061169566332309,1.5967851727857996,-0.0002582757121305,30.58846871294731,0.3882895210638792,0.0050785361384507,0.0712638487485117,0.0,0.1635258947313565,0.1135601699117638,0.2161362630480263,9.759876600742376e-05,0.0630722084391323,0.2557135913449113,15.447179081361632,0
1306,0.3031688,2078.962458280905,2174.3508774459888,0.0998044238017551,1.6824526218906797,0.0005873222609779,33.22721164148402,0.5894112274474123,0.0057730650600876,0.0759806887313328,0.0,0.0092940538865339,0.0104395353537383,0.1885680234266684,4.01848598855106e-06,0.0028711700475772,3.649408881428412,22.23657820111732,0
1307,0.3228242,2402.348400136612,2564.0874781662305,0.1061902203925011,1.371181259554228,0.0001816837693327,23.450737274696458,0.4298199881064332,0.0075565589800769,0.086928470480487,0.0,0.0318303397143081,0.0279942107920913,0.2179000816448465,6.0428379898250936e-06,0.0879181738303804,3.5975107864910183,26.562433413651597,0
1308,0.26841435,2491.727597269621,2461.5558054895077,0.1215453622855392,1.3089166268270254,-5.301455856951013e-06,34.0940519977948,0.4601122028085483,0.0080871294634391,0.0899284685927607,0.0,0.0059683309465884,0.0021224406950991,0.2260070383008944,1.045766960523323e-06,0.0039155766236741,1.8530011660910164,11.504766615234963,0
1309,0.2751473,2138.20866603347,2292.698260332472,0.0977507401612031,1.7287211885371188,-5.874657567845459e-05,26.964101780473385,0.4957187824994414,0.0056748185191604,0.0753313913263283,0.0,0.0252543404332359,0.0234286313028189,0.1939418291185061,2.529954308057135e-05,0.1128003343325087,2.795351331471349,25.33664972670874,0
